jira_ticket_id,test_case_id,step_id,source_result_code,ba_action,ba_reason,jira_action,jira_expectation,classification,explanation,label_hint
JIRA-1000,TC-001,ST-1001,RC1001,User logs in,Invalid password,User logs in,Expected: Invalid password,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1001,TC-001,ST-1002,RC1001,User logs in,Invalid password,User logs in (modified step),Expected: Invalid password,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1002,TC-001,ST-1003,RC1001,User logs in,Invalid password,User logs in,Expected: Invalid password BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1003,TC-001,ST-1004,RC1001,User logs in,Invalid password,User logs in,Expected: Invalid password,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1004,TC-001,ST-1005,RC1001,User logs in,Invalid password,User logs in,Expected: Invalid password,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1005,TC-001,ST-1006,RC1001,User logs in,Invalid password,User logs in (modified step),Expected: Invalid password,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1006,TC-001,ST-1007,RC1001,User logs in,Invalid password,User logs in (modified step),Expected: Invalid password,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1007,TC-001,ST-1008,RC1001,User logs in,Invalid password,User logs in,Expected: Invalid password,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1008,TC-002,ST-1009,RC1002,User requests password reset,Email not registered,User requests password reset (modified step),Expected: Email not registered,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1009,TC-002,ST-1010,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1010,TC-002,ST-1011,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1011,TC-002,ST-1012,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1012,TC-002,ST-1013,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1013,TC-002,ST-1014,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1014,TC-002,ST-1015,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1015,TC-002,ST-1016,RC1002,User requests password reset,Email not registered,User requests password reset (modified step),Expected: Email not registered,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1016,TC-003,ST-1017,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1017,TC-003,ST-1018,RC1003,User requests password reset,Valid email sends link,User requests password reset (modified step),Expected: Valid email sends link,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1018,TC-003,ST-1019,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1019,TC-003,ST-1020,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1020,TC-003,ST-1021,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1021,TC-003,ST-1022,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1022,TC-003,ST-1023,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1023,TC-003,ST-1024,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1024,TC-004,ST-1025,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1025,TC-004,ST-1026,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1026,TC-004,ST-1027,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1027,TC-004,ST-1028,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1028,TC-004,ST-1029,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1029,TC-004,ST-1030,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1030,TC-004,ST-1031,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1031,TC-004,ST-1032,RC1004,User inactive,Session expired after 15 min,User inactive (modified step),Expected: Session expired after 15 min,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1032,TC-005,ST-1033,RC1005,5 failed logins,Account locked,5 failed logins (modified step),Expected: Account locked,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1033,TC-005,ST-1034,RC1005,5 failed logins,Account locked,5 failed logins (modified step),Expected: Account locked,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1034,TC-005,ST-1035,RC1005,5 failed logins,Account locked,5 failed logins,Expected: Account locked BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1035,TC-005,ST-1036,RC1005,5 failed logins,Account locked,5 failed logins,Expected: Account locked,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1036,TC-005,ST-1037,RC1005,5 failed logins,Account locked,5 failed logins,Expected: Account locked,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1037,TC-005,ST-1038,RC1005,5 failed logins,Account locked,5 failed logins (modified step),Expected: Account locked,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1038,TC-005,ST-1039,RC1005,5 failed logins,Account locked,5 failed logins,Expected: Account locked,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1039,TC-005,ST-1040,RC1005,5 failed logins,Account locked,5 failed logins,Expected: Account locked,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1040,TC-006,ST-1041,RC1006,Sync triggered,API delay,Sync triggered,Expected: API delay,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1041,TC-006,ST-1042,RC1006,Sync triggered,API delay,Sync triggered,Expected: API delay BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1042,TC-006,ST-1043,RC1006,Sync triggered,API delay,Sync triggered (modified step),Expected: API delay,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1043,TC-006,ST-1044,RC1006,Sync triggered,API delay,Sync triggered,Expected: API delay,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1044,TC-006,ST-1045,RC1006,Sync triggered,API delay,Sync triggered,Expected: API delay,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1045,TC-006,ST-1046,RC1006,Sync triggered,API delay,Sync triggered,Expected: API delay,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1046,TC-006,ST-1047,RC1006,Sync triggered,API delay,Sync triggered,Expected: API delay,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1047,TC-006,ST-1048,RC1006,Sync triggered,API delay,Sync triggered,Expected: API delay,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1048,TC-007,ST-1049,RC1007,Access admin page,Role mismatch,Access admin page,Expected: Role mismatch,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1049,TC-007,ST-1050,RC1007,Access admin page,Role mismatch,Access admin page (modified step),Expected: Role mismatch,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1050,TC-007,ST-1051,RC1007,Access admin page,Role mismatch,Access admin page (modified step),Expected: Role mismatch,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1051,TC-007,ST-1052,RC1007,Access admin page,Role mismatch,Access admin page,Expected: Role mismatch BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1052,TC-007,ST-1053,RC1007,Access admin page,Role mismatch,Access admin page,Expected: Role mismatch,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1053,TC-007,ST-1054,RC1007,Access admin page,Role mismatch,Access admin page,Expected: Role mismatch BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1054,TC-007,ST-1055,RC1007,Access admin page,Role mismatch,Access admin page,Expected: Role mismatch,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1055,TC-007,ST-1056,RC1007,Access admin page,Role mismatch,Access admin page,Expected: Role mismatch,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1056,TC-008,ST-1057,RC1008,Submit form,Missing required fields,Submit form,Expected: Missing required fields,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1057,TC-008,ST-1058,RC1008,Submit form,Missing required fields,Submit form (modified step),Expected: Missing required fields,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1058,TC-008,ST-1059,RC1008,Submit form,Missing required fields,Submit form,Expected: Missing required fields,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1059,TC-008,ST-1060,RC1008,Submit form,Missing required fields,Submit form,Expected: Missing required fields BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1060,TC-008,ST-1061,RC1008,Submit form,Missing required fields,Submit form,Expected: Missing required fields,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1061,TC-008,ST-1062,RC1008,Submit form,Missing required fields,Submit form,Expected: Missing required fields,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1062,TC-008,ST-1063,RC1008,Submit form,Missing required fields,Submit form,Expected: Missing required fields BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1063,TC-008,ST-1064,RC1008,Submit form,Missing required fields,Submit form,Expected: Missing required fields,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1064,TC-009,ST-1065,RC1009,Submit form,Invalid format email,Submit form (modified step),Expected: Invalid format email,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1065,TC-009,ST-1066,RC1009,Submit form,Invalid format email,Submit form,Expected: Invalid format email BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1066,TC-009,ST-1067,RC1009,Submit form,Invalid format email,Submit form,Expected: Invalid format email,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1067,TC-009,ST-1068,RC1009,Submit form,Invalid format email,Submit form,Expected: Invalid format email,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1068,TC-009,ST-1069,RC1009,Submit form,Invalid format email,Submit form (modified step),Expected: Invalid format email,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1069,TC-009,ST-1070,RC1009,Submit form,Invalid format email,Submit form,Expected: Invalid format email,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1070,TC-009,ST-1071,RC1009,Submit form,Invalid format email,Submit form,Expected: Invalid format email,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1071,TC-009,ST-1072,RC1009,Submit form,Invalid format email,Submit form,Expected: Invalid format email,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1072,TC-010,ST-1073,RC1010,Fetch user data,500 internal error,Fetch user data,Expected: 500 internal error,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1073,TC-010,ST-1074,RC1010,Fetch user data,500 internal error,Fetch user data,Expected: 500 internal error BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1074,TC-010,ST-1075,RC1010,Fetch user data,500 internal error,Fetch user data,Expected: 500 internal error,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1075,TC-010,ST-1076,RC1010,Fetch user data,500 internal error,Fetch user data,Expected: 500 internal error,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1076,TC-010,ST-1077,RC1010,Fetch user data,500 internal error,Fetch user data,Expected: 500 internal error BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1077,TC-010,ST-1078,RC1010,Fetch user data,500 internal error,Fetch user data (modified step),Expected: 500 internal error,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1078,TC-010,ST-1079,RC1010,Fetch user data,500 internal error,Fetch user data,Expected: 500 internal error,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1079,TC-010,ST-1080,RC1010,Fetch user data,500 internal error,Fetch user data,Expected: 500 internal error,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1080,TC-011,ST-1081,RC1011,Idle user,Auto logout,Idle user,Expected: Auto logout,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1081,TC-011,ST-1082,RC1011,Idle user,Auto logout,Idle user,Expected: Auto logout BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1082,TC-011,ST-1083,RC1011,Idle user,Auto logout,Idle user,Expected: Auto logout BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1083,TC-011,ST-1084,RC1011,Idle user,Auto logout,Idle user,Expected: Auto logout,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1084,TC-011,ST-1085,RC1011,Idle user,Auto logout,Idle user,Expected: Auto logout BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1085,TC-011,ST-1086,RC1011,Idle user,Auto logout,Idle user,Expected: Auto logout,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1086,TC-011,ST-1087,RC1011,Idle user,Auto logout,Idle user,Expected: Auto logout BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1087,TC-011,ST-1088,RC1011,Idle user,Auto logout,Idle user,Expected: Auto logout,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1088,TC-012,ST-1089,RC1012,Login attempt,2FA required,Login attempt,Expected: 2FA required,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1089,TC-012,ST-1090,RC1012,Login attempt,2FA required,Login attempt,Expected: 2FA required,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1090,TC-012,ST-1091,RC1012,Login attempt,2FA required,Login attempt (modified step),Expected: 2FA required,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1091,TC-012,ST-1092,RC1012,Login attempt,2FA required,Login attempt,Expected: 2FA required BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1092,TC-012,ST-1093,RC1012,Login attempt,2FA required,Login attempt,Expected: 2FA required,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1093,TC-012,ST-1094,RC1012,Login attempt,2FA required,Login attempt,Expected: 2FA required,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1094,TC-012,ST-1095,RC1012,Login attempt,2FA required,Login attempt (modified step),Expected: 2FA required,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1095,TC-012,ST-1096,RC1012,Login attempt,2FA required,Login attempt,Expected: 2FA required,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1096,TC-013,ST-1097,RC1013,Reset password,SMS sent instead of email,Reset password,Expected: SMS sent instead of email,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1097,TC-013,ST-1098,RC1013,Reset password,SMS sent instead of email,Reset password (modified step),Expected: SMS sent instead of email,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1098,TC-013,ST-1099,RC1013,Reset password,SMS sent instead of email,Reset password,Expected: SMS sent instead of email BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1099,TC-013,ST-1100,RC1013,Reset password,SMS sent instead of email,Reset password,Expected: SMS sent instead of email,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1100,TC-013,ST-1101,RC1013,Reset password,SMS sent instead of email,Reset password (modified step),Expected: SMS sent instead of email,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1101,TC-013,ST-1102,RC1013,Reset password,SMS sent instead of email,Reset password,Expected: SMS sent instead of email,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1102,TC-013,ST-1103,RC1013,Reset password,SMS sent instead of email,Reset password,Expected: SMS sent instead of email BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1103,TC-013,ST-1104,RC1013,Reset password,SMS sent instead of email,Reset password,Expected: SMS sent instead of email,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1104,TC-014,ST-1105,RC1014,Sync batch,Partial sync failure,Sync batch,Expected: Partial sync failure BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1105,TC-014,ST-1106,RC1014,Sync batch,Partial sync failure,Sync batch,Expected: Partial sync failure,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1106,TC-014,ST-1107,RC1014,Sync batch,Partial sync failure,Sync batch (modified step),Expected: Partial sync failure,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1107,TC-014,ST-1108,RC1014,Sync batch,Partial sync failure,Sync batch,Expected: Partial sync failure,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1108,TC-014,ST-1109,RC1014,Sync batch,Partial sync failure,Sync batch,Expected: Partial sync failure,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1109,TC-014,ST-1110,RC1014,Sync batch,Partial sync failure,Sync batch,Expected: Partial sync failure,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1110,TC-014,ST-1111,RC1014,Sync batch,Partial sync failure,Sync batch,Expected: Partial sync failure,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1111,TC-014,ST-1112,RC1014,Sync batch,Partial sync failure,Sync batch (modified step),Expected: Partial sync failure,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1112,TC-015,ST-1113,RC1015,Login via SSO,SAML mismatch,Login via SSO,Expected: SAML mismatch BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1113,TC-015,ST-1114,RC1015,Login via SSO,SAML mismatch,Login via SSO (modified step),Expected: SAML mismatch,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1114,TC-015,ST-1115,RC1015,Login via SSO,SAML mismatch,Login via SSO,Expected: SAML mismatch BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1115,TC-015,ST-1116,RC1015,Login via SSO,SAML mismatch,Login via SSO,Expected: SAML mismatch BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1116,TC-015,ST-1117,RC1015,Login via SSO,SAML mismatch,Login via SSO,Expected: SAML mismatch,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1117,TC-015,ST-1118,RC1015,Login via SSO,SAML mismatch,Login via SSO (modified step),Expected: SAML mismatch,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1118,TC-015,ST-1119,RC1015,Login via SSO,SAML mismatch,Login via SSO,Expected: SAML mismatch,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1119,TC-015,ST-1120,RC1015,Login via SSO,SAML mismatch,Login via SSO (modified step),Expected: SAML mismatch,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1120,TC-016,ST-1121,RC1016,Load dashboard,Component missing,Load dashboard,Expected: Component missing,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1121,TC-016,ST-1122,RC1016,Load dashboard,Component missing,Load dashboard,Expected: Component missing,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1122,TC-016,ST-1123,RC1016,Load dashboard,Component missing,Load dashboard,Expected: Component missing,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1123,TC-016,ST-1124,RC1016,Load dashboard,Component missing,Load dashboard,Expected: Component missing,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1124,TC-016,ST-1125,RC1016,Load dashboard,Component missing,Load dashboard,Expected: Component missing,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1125,TC-016,ST-1126,RC1016,Load dashboard,Component missing,Load dashboard (modified step),Expected: Component missing,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1126,TC-016,ST-1127,RC1016,Load dashboard,Component missing,Load dashboard,Expected: Component missing,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1127,TC-016,ST-1128,RC1016,Load dashboard,Component missing,Load dashboard,Expected: Component missing,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1128,TC-017,ST-1129,RC1017,Edit record,Read-only role,Edit record,Expected: Read-only role,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1129,TC-017,ST-1130,RC1017,Edit record,Read-only role,Edit record,Expected: Read-only role,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1130,TC-017,ST-1131,RC1017,Edit record,Read-only role,Edit record,Expected: Read-only role,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1131,TC-017,ST-1132,RC1017,Edit record,Read-only role,Edit record,Expected: Read-only role,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1132,TC-017,ST-1133,RC1017,Edit record,Read-only role,Edit record (modified step),Expected: Read-only role,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1133,TC-017,ST-1134,RC1017,Edit record,Read-only role,Edit record,Expected: Read-only role BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1134,TC-017,ST-1135,RC1017,Edit record,Read-only role,Edit record (modified step),Expected: Read-only role,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1135,TC-017,ST-1136,RC1017,Edit record,Read-only role,Edit record,Expected: Read-only role,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1136,TC-018,ST-1137,RC1018,Submit payment,Card declined,Submit payment,Expected: Card declined,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1137,TC-018,ST-1138,RC1018,Submit payment,Card declined,Submit payment (modified step),Expected: Card declined,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1138,TC-018,ST-1139,RC1018,Submit payment,Card declined,Submit payment,Expected: Card declined,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1139,TC-018,ST-1140,RC1018,Submit payment,Card declined,Submit payment,Expected: Card declined,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1140,TC-018,ST-1141,RC1018,Submit payment,Card declined,Submit payment,Expected: Card declined,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1141,TC-018,ST-1142,RC1018,Submit payment,Card declined,Submit payment,Expected: Card declined,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1142,TC-018,ST-1143,RC1018,Submit payment,Card declined,Submit payment,Expected: Card declined BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1143,TC-018,ST-1144,RC1018,Submit payment,Card declined,Submit payment,Expected: Card declined,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1144,TC-019,ST-1145,RC1019,Call billing API,Timeout,Call billing API,Expected: Timeout,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1145,TC-019,ST-1146,RC1019,Call billing API,Timeout,Call billing API,Expected: Timeout,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1146,TC-019,ST-1147,RC1019,Call billing API,Timeout,Call billing API,Expected: Timeout,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1147,TC-019,ST-1148,RC1019,Call billing API,Timeout,Call billing API (modified step),Expected: Timeout,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1148,TC-019,ST-1149,RC1019,Call billing API,Timeout,Call billing API (modified step),Expected: Timeout,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1149,TC-019,ST-1150,RC1019,Call billing API,Timeout,Call billing API (modified step),Expected: Timeout,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1150,TC-019,ST-1151,RC1019,Call billing API,Timeout,Call billing API,Expected: Timeout,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1151,TC-019,ST-1152,RC1019,Call billing API,Timeout,Call billing API,Expected: Timeout BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1152,TC-020,ST-1153,RC1020,User inactive,Forced logout after upgrade,User inactive,Expected: Forced logout after upgrade,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1153,TC-020,ST-1154,RC1020,User inactive,Forced logout after upgrade,User inactive,Expected: Forced logout after upgrade,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1154,TC-020,ST-1155,RC1020,User inactive,Forced logout after upgrade,User inactive,Expected: Forced logout after upgrade,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1155,TC-020,ST-1156,RC1020,User inactive,Forced logout after upgrade,User inactive,Expected: Forced logout after upgrade,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1156,TC-020,ST-1157,RC1020,User inactive,Forced logout after upgrade,User inactive,Expected: Forced logout after upgrade,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1157,TC-020,ST-1158,RC1020,User inactive,Forced logout after upgrade,User inactive,Expected: Forced logout after upgrade,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1158,TC-020,ST-1159,RC1020,User inactive,Forced logout after upgrade,User inactive (modified step),Expected: Forced logout after upgrade,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1159,TC-020,ST-1160,RC1020,User inactive,Forced logout after upgrade,User inactive,Expected: Forced logout after upgrade,MATCH,The test step appears consistent with the source behavior.,match
